pais,tema,tema_descripcion,materia,grado,parametro,porcentaje
ar,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Matemáticas,6,No,0.582
ar,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Matemáticas,6,Sí,0.418
br,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Ciencias,6,No,0.715
br,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Ciencias,6,Sí,0.285
br,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Lectura,3,No,0.85
br,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Lectura,3,Sí,0.15
br,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Lectura,6,No,0.708
br,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Lectura,6,Sí,0.292
br,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Matemáticas,3,No,0.938
br,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Matemáticas,3,Sí,0.062
br,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Matemáticas,6,No,0.681
br,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Matemáticas,6,Sí,0.319
cl,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Ciencias,6,No,0.734
cl,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Ciencias,6,Sí,0.266
cl,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Lectura,3,No,0.587
cl,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Lectura,3,Sí,0.413
cl,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Lectura,6,No,0.691
cl,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Lectura,6,Sí,0.309
cl,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Matemáticas,3,No,0.689
cl,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Matemáticas,3,Sí,0.311
cl,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Matemáticas,6,No,0.522
cl,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Matemáticas,6,Sí,0.478
co,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Ciencias,6,No,0.838
co,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Ciencias,6,Sí,0.162
co,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Lectura,3,No,0.914
co,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Lectura,3,Sí,0.086
co,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Lectura,6,No,0.835
co,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Lectura,6,Sí,0.165
co,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Matemáticas,3,No,0.955
co,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Matemáticas,3,Sí,0.045
co,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Matemáticas,6,No,0.823
co,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Matemáticas,6,Sí,0.177
cr,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Ciencias,6,No,0.862
cr,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Ciencias,6,Sí,0.138
cr,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Lectura,3,No,0.751
cr,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Lectura,3,Sí,0.249
cr,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Lectura,6,No,0.782
cr,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Lectura,6,Sí,0.218
cr,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Matemáticas,3,No,0.693
cr,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Matemáticas,3,Sí,0.307
cr,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Matemáticas,6,No,0.607
cr,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Matemáticas,6,Sí,0.393
